siteName,siteLatitude,siteLongitude,siteAltitude,siteID,depth,thickness,age,ageOld,ageYoung,ageType,chronologyID,taxonPercent,taxonSum,pollenSum,countedInLevel,totalInLevel,datasetID,datasetType,collectionUnitType,collectionUnitHandle,collectionUnitID
Tulare Lake,36.052,-119.78,55.0,10410,760.0,,28120.0,28677.0,27398.0,Calibrated radiocarbon years BP,8429,3.06603773585,13.0,424.0,24,35,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,770.0,,28310.0,28770.0,27820.0,Calibrated radiocarbon years BP,8429,2.93453724605,13.0,443.0,25,34,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,780.0,,28505.0,28980.0,28008.0,Calibrated radiocarbon years BP,8429,0.295275590551,3.0,1016.0,31,40,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,790.0,,28674.0,29073.0,28236.0,Calibrated radiocarbon years BP,8429,0.416666666667,2.0,480.0,22,28,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,800.0,,28841.0,29265.0,28356.0,Calibrated radiocarbon years BP,8429,1.08225108225,5.0,462.0,24,33,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,820.0,,29173.0,29528.0,28816.0,Calibrated radiocarbon years BP,8429,1.86721991701,9.0,482.0,27,39,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,830.0,,29292.0,29667.0,28937.0,Calibrated radiocarbon years BP,8429,2.54452926209,10.0,393.0,23,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,840.0,,29408.0,29892.0,28996.0,Calibrated radiocarbon years BP,8429,1.44927536232,8.0,552.0,31,39,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,853.0,,29562.0,30029.0,29130.0,Calibrated radiocarbon years BP,8429,1.23076923077,4.0,325.0,21,29,15876,pollen,Core,TULARECA,11785
Lower Lake,38.590035,-123.30498,228.0,10469,0.0,2.5,-29.0,,,Calendar years BP,8517,25.6965944272,83.0,323.0,28,31,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,5.0,2.5,80.0,,,Calendar years BP,8517,23.8693467337,95.0,398.0,27,30,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,10.0,2.5,103.0,,,Calendar years BP,8517,14.2857142857,59.0,413.0,27,30,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,12.0,2.5,113.0,,,Calendar years BP,8517,23.9603960396,121.0,505.0,28,31,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,15.0,2.5,127.0,,,Calendar years BP,8517,31.2638580931,141.0,451.0,27,30,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,17.5,2.5,138.0,,,Calendar years BP,8517,45.7765667575,168.0,367.0,24,27,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,20.0,2.5,150.0,,,Calendar years BP,8517,54.1666666667,169.0,312.0,22,25,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,22.5,2.5,162.0,,,Calendar years BP,8517,48.0392156863,147.0,306.0,20,22,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,25.0,2.5,173.0,,,Calendar years BP,8517,56.0693641618,194.0,346.0,23,26,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,27.5,2.5,185.0,,,Calendar years BP,8517,49.1525423729,145.0,295.0,16,18,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,30.0,2.5,197.0,,,Calendar years BP,8517,45.0142450142,158.0,351.0,21,24,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,32.0,2.5,206.0,,,Calendar years BP,8517,47.2440944882,180.0,381.0,22,25,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,35.0,2.5,220.0,,,Calendar years BP,8517,43.6482084691,134.0,307.0,18,21,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,37.5,2.5,232.0,,,Calendar years BP,8517,46.8513853904,186.0,397.0,21,23,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,40.0,2.5,243.0,,,Calendar years BP,8517,41.6666666667,170.0,408.0,18,21,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,42.0,2.5,253.0,,,Calendar years BP,8517,48.3240223464,173.0,358.0,19,21,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,44.0,2.5,262.0,,,Calendar years BP,8517,44.7204968944,144.0,322.0,21,23,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,47.0,2.5,276.0,,,Calendar years BP,8517,43.6201780415,147.0,337.0,16,18,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,52.0,2.5,299.0,,,Calendar years BP,8517,32.967032967,120.0,364.0,19,21,16046,pollen,Core,LOWERPLT,11864
Elkhorn Slough,36.82535,-121.76415,0.0,10477,3.0,2.5,-23.0,-7.0,-36.0,Calibrated radiocarbon years BP,8527,3.98773006135,13.0,326.0,26,28,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,27.0,2.5,80.0,96.0,66.0,Calibrated radiocarbon years BP,8527,1.53452685422,6.0,391.0,23,25,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,52.0,2.5,377.0,732.0,157.0,Calibrated radiocarbon years BP,8527,1.44230769231,6.0,416.0,20,22,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,106.0,2.5,1090.0,1623.0,630.0,Calibrated radiocarbon years BP,8527,4.90797546012,16.0,326.0,22,25,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,156.0,2.5,1744.0,2309.0,1198.0,Calibrated radiocarbon years BP,8527,3.64683301344,19.0,521.0,21,23,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,179.0,2.5,2046.0,2622.0,1466.0,Calibrated radiocarbon years BP,8527,4.7311827957,22.0,465.0,22,24,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,206.0,2.5,2400.0,2945.0,1838.0,Calibrated radiocarbon years BP,8527,3.01810865191,15.0,497.0,21,24,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,256.0,2.5,3054.0,3495.0,2536.0,Calibrated radiocarbon years BP,8527,2.15384615385,7.0,325.0,18,20,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,280.0,2.5,3368.0,3752.0,2898.0,Calibrated radiocarbon years BP,8527,3.76237623762,19.0,505.0,24,26,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,304.0,2.5,3675.0,3961.0,3339.0,Calibrated radiocarbon years BP,8527,5.49738219895,21.0,382.0,19,22,16063,pollen,Core,ELKHORN,11872
